item_nsid;item_name;item_code;item_type;project_code;item_category_nsid;item_pattern_nsid
1;Glowing Body;XBR001;Assembly;DZL-XBR001;16;2
2;Luminous Goddess;XBR002;Build;XRD-XBR002;13;1
3;Soothing Nails;XBR003;Build;MZL-XBR003;23;4
4;Dazzling Mist;XBR004;Assembly;LXP-XBR004;17;3
5;Smooth Dream;XBR005;Build;DXZ-XBR005;13;4
6;Pampering Glow;XBR006;Build;DZX-XBR006;11;6
7;Luminous Lips;XBR007;Assembly;OQE-XBR007;12;6
8;Silky Aura;XBR008;Build;TAL-XBR008;8;5
9;Luxurious Eyes;XBR009;Assembly;DES-XBR009;12;4
10;Dazzling Aura;XBR0010;Assembly;DTN-XBR0010;33;2
11;Youthful Glow;XBR0011;Assembly;EFD-XBR0011;49;6
12;Luminous Goddess;XBR0012;Assembly;NEX-XBR0012;16;4
13;Velvety Skin;XBR0013;Build;JSI-XBR0013;16;1
14;Natural Mask;XBR0014;Build;EHV-XBR0014;36;4
15;Radiant Mist;XBR0015;Assembly;VTF-XBR0015;12;2
16;Dazzling Mask;XBR0016;Build;DSZ-XBR0016;47;6
17;Flawless Nails;XBR0017;Assembly;HBS-XBR0017;45;5
18;Dazzling Essence;XBR0018;Build;TCS-XBR0018;14;5
19;Pure Cheeks;XBR0019;Build;EMN-XBR0019;28;4
20;Fresh Essence;XBR0020;Build;CQU-XBR0020;48;4
21;Natural Glow;XBR0021;Assembly;FMP-XBR0021;50;2
22;Youthful Body;XBR0022;Build;EAC-XBR0022;22;4
23;Dazzling Cream;XBR0023;Assembly;CZF-XBR0023;18;5
24;Glowing Face;XBR0024;Assembly;SJO-XBR0024;14;4
25;Enchanting Essence;XBR0025;Build;RVO-XBR0025;20;1
26;Velvety Aura;XBR0026;Assembly;KUU-XBR0026;46;6
27;Natural Hands;XBR0027;Assembly;YEW-XBR0027;30;6
28;Dazzling Hands;XBR0028;Assembly;NTV-XBR0028;15;6
29;Pure Nails;XBR0029;Build;FWK-XBR0029;46;3
30;Luxurious Serum;XBR0030;Build;ECM-XBR0030;33;6
31;Flawless Body;XBR0031;Build;WDQ-XBR0031;1;1
32;Vibrant Essence;XBR0032;Assembly;KUP-XBR0032;49;4
33;Divine Lips;XBR0033;Assembly;XUB-XBR0033;27;2
34;Flawless Eyes;XBR0034;Build;EOQ-XBR0034;17;3
35;Dazzling Complexion;XBR0035;Assembly;WDO-XBR0035;36;5
36;Fresh Body;XBR0036;Build;ZGY-XBR0036;24;6
37;Silky Cream;XBR0037;Assembly;BNN-XBR0037;46;6
38;Luminous Essence;XBR0038;Build;NDF-XBR0038;29;4
39;Vibrant Complexion;XBR0039;Assembly;GYB-XBR0039;28;2
40;Flawless Beauty;XBR0040;Assembly;VGO-XBR0040;30;3
41;Divine Skin;XBR0041;Build;DWE-XBR0041;34;5
42;Natural Body;XBR0042;Build;FCI-XBR0042;42;6
43;Elegant Face;XBR0043;Assembly;KQE-XBR0043;7;2
44;Enchanting Mist;XBR0044;Build;QNH-XBR0044;29;4
45;Divine Serum;XBR0045;Build;VWJ-XBR0045;32;3
46;Flawless Hands;XBR0046;Assembly;CSX-XBR0046;44;1
47;Smooth Glow;XBR0047;Assembly;CXL-XBR0047;14;6
48;Natural Cheeks;XBR0048;Build;UEB-XBR0048;29;6
49;Luminous Goddess;XBR0049;Build;TTW-XBR0049;31;5
50;Smooth Glow;XBR0050;Assembly;BNI-XBR0050;41;3
51;Silky Skin;XBR0051;Assembly;CSL-XBR0051;41;3
52;Divine Mask;XBR0052;Assembly;RFP-XBR0052;41;4
53;Youthful Nails;XBR0053;Build;GLP-XBR0053;47;4
54;Fresh Glow;XBR0054;Build;LOD-XBR0054;22;6
55;Dazzling Cream;XBR0055;Build;QUG-XBR0055;8;3
56;Smooth Cream;XBR0056;Build;QVY-XBR0056;18;4
57;Enchanting Aura;XBR0057;Assembly;BPP-XBR0057;5;2
58;Divine Hands;XBR0058;Build;HMK-XBR0058;13;4
59;Dazzling Beauty;XBR0059;Assembly;YEH-XBR0059;8;4
60;Dazzling Eyes;XBR0060;Build;RTX-XBR0060;48;3
61;Pampering Cream;XBR0061;Assembly;FBT-XBR0061;13;4
62;Fresh Goddess;XBR0062;Assembly;TWQ-XBR0062;27;4
63;Smooth Serum;XBR0063;Assembly;MKL-XBR0063;22;4
64;Glowing Hands;XBR0064;Assembly;TIU-XBR0064;28;2
65;Soothing Beauty;XBR0065;Build;RPY-XBR0065;14;5
66;Radiant Goddess;XBR0066;Assembly;EZW-XBR0066;11;1
67;Pure Essence;XBR0067;Assembly;HGE-XBR0067;15;6
68;Soothing Eyes;XBR0068;Assembly;MMR-XBR0068;3;5
69;Radiant Mist;XBR0069;Assembly;VLB-XBR0069;29;4
70;Vibrant Lips;XBR0070;Build;LEM-XBR0070;26;3
71;Luxurious Cheeks;XBR0071;Assembly;ZZY-XBR0071;6;2
72;Pampering Hands;XBR0072;Assembly;FAP-XBR0072;44;1
73;Dazzling Hands;XBR0073;Assembly;HJQ-XBR0073;39;3
74;Divine Goddess;XBR0074;Assembly;LLG-XBR0074;47;2
75;Silky Face;XBR0075;Assembly;KFJ-XBR0075;42;5
76;Soothing Glow;XBR0076;Build;LAR-XBR0076;31;3
77;Pure Cheeks;XBR0077;Build;APF-XBR0077;7;6
78;Pure Serum;XBR0078;Build;EDA-XBR0078;35;3
79;Pure Beauty;XBR0079;Build;IKA-XBR0079;43;2
80;Sensual Dream;XBR0080;Build;XYR-XBR0080;18;5
81;Velvety Skin;XBR0081;Assembly;VYE-XBR0081;44;1
82;Elegant Hair;XBR0082;Assembly;XXT-XBR0082;14;5
83;Silky Dream;XBR0083;Build;FSL-XBR0083;38;6
84;Glowing Hair;XBR0084;Build;EOG-XBR0084;45;2
85;Pure Cream;XBR0085;Build;RZP-XBR0085;42;4
86;Smooth Hair;XBR0086;Assembly;IFU-XBR0086;16;5
87;Soothing Glow;XBR0087;Build;NVJ-XBR0087;40;5
88;Pure Beauty;XBR0088;Assembly;FJS-XBR0088;18;4
89;Natural Cream;XBR0089;Build;VAZ-XBR0089;28;3
90;Divine Complexion;XBR0090;Assembly;VOD-XBR0090;3;1
91;Vibrant Essence;XBR0091;Assembly;GVR-XBR0091;4;3
92;Vibrant Face;XBR0092;Build;FGQ-XBR0092;18;5
93;Vibrant Mist;XBR0093;Build;WQR-XBR0093;23;4
94;Radiant Face;XBR0094;Assembly;RIY-XBR0094;19;4
95;Pampering Complexion;XBR0095;Assembly;ALG-XBR0095;30;4
96;Dazzling Goddess;XBR0096;Assembly;VVV-XBR0096;34;1
97;Natural Cheeks;XBR0097;Build;PEY-XBR0097;28;1
98;Soothing Essence;XBR0098;Assembly;BUP-XBR0098;26;2
99;Silky Essence;XBR0099;Build;VWJ-XBR0099;24;2
100;Glowing Glow;XBR00100;Build;ZOX-XBR00100;43;6
101;Fresh Goddess;XBR00101;Assembly;GBW-XBR00101;12;3
102;Soothing Body;XBR00102;Assembly;CIJ-XBR00102;5;3
103;Silky Goddess;XBR00103;Build;JMC-XBR00103;47;3
104;Silky Aura;XBR00104;Build;JDS-XBR00104;17;1
105;Silky Hands;XBR00105;Assembly;GQK-XBR00105;19;4
106;Fresh Cheeks;XBR00106;Build;DVN-XBR00106;10;1
107;Luminous Serum;XBR00107;Assembly;PAB-XBR00107;12;4
108;Velvety Dream;XBR00108;Build;KLP-XBR00108;20;1
109;Luminous Goddess;XBR00109;Build;VNY-XBR00109;33;2
110;Youthful Lips;XBR00110;Assembly;PYV-XBR00110;10;3
111;Silky Hair;XBR00111;Build;WQA-XBR00111;8;5
112;Smooth Glow;XBR00112;Build;TWQ-XBR00112;46;2
